time,open,high,low,close,tick_volume,spread,real_volume
2026-01-02 01:00:00+00:00,4327.84,4333.61,4324.52,4327.74,685,8,0
2026-01-02 01:05:00+00:00,4327.72,4333.66,4327.63,4333.38,383,7,0
2026-01-02 01:10:00+00:00,4333.46,4335.51,4329.64,4330.94,440,7,0
2026-01-02 01:15:00+00:00,4330.94,4334.48,4328.47,4334.39,365,7,0
2026-01-02 01:20:00+00:00,4334.4,4340.9,4333.08,4340.17,544,6,0
2026-01-02 01:25:00+00:00,4340.22,4343.0,4338.44,4341.11,699,7,0
2026-01-02 01:30:00+00:00,4341.11,4341.72,4340.52,4341.66,300,6,0
2026-01-02 01:35:00+00:00,4341.66,4343.95,4340.25,4340.62,652,6,0
2026-01-02 01:40:00+00:00,4340.62,4345.54,4339.24,4345.41,553,6,0
2026-01-02 01:45:00+00:00,4345.5,4346.05,4342.42,4343.15,545,7,0
2026-01-02 01:50:00+00:00,4343.15,4347.57,4342.09,4347.57,520,4,0
2026-01-02 01:55:00+00:00,4347.56,4351.45,4346.97,4348.52,604,8,0
2026-01-02 02:00:00+00:00,4348.52,4349.18,4345.45,4346.56,400,7,0
2026-01-02 02:05:00+00:00,4346.59,4350.51,4344.67,4350.24,453,6,0
2026-01-02 02:10:00+00:00,4350.24,4352.82,4347.63,4348.09,561,7,0
2026-01-02 02:15:00+00:00,4348.09,4349.46,4344.66,4344.78,461,5,0
2026-01-02 02:20:00+00:00,4344.77,4347.44,4342.94,4343.57,616,5,0
2026-01-02 02:25:00+00:00,4343.55,4347.68,4341.49,4347.29,533,5,0
2026-01-02 02:30:00+00:00,4347.29,4349.4,4347.01,4348.49,606,5,0
2026-01-02 02:35:00+00:00,4348.49,4350.79,4347.77,4348.54,733,5,0
2026-01-02 02:40:00+00:00,4348.53,4350.68,4346.71,4349.66,659,5,0
2026-01-02 02:45:00+00:00,4349.7,4353.29,4349.7,4351.93,652,5,0
2026-01-02 02:50:00+00:00,4351.92,4353.17,4350.82,4352.27,582,5,0
2026-01-02 02:55:00+00:00,4352.27,4356.08,4351.1,4354.11,675,5,0
2026-01-02 03:00:00+00:00,4354.11,4356.06,4347.37,4348.06,735,6,0
2026-01-02 03:05:00+00:00,4348.06,4350.36,4345.4,4346.38,818,12,0
2026-01-02 03:10:00+00:00,4346.36,4351.03,4346.06,4346.72,724,5,0
2026-01-02 03:15:00+00:00,4346.72,4349.79,4345.01,4349.2,830,5,0
2026-01-02 03:20:00+00:00,4349.24,4349.95,4346.31,4346.4,775,5,0
2026-01-02 03:25:00+00:00,4346.37,4349.53,4344.59,4349.19,885,4,0
2026-01-02 03:30:00+00:00,4349.19,4351.46,4348.95,4349.69,795,5,0
2026-01-02 03:35:00+00:00,4349.69,4351.49,4348.13,4348.95,791,5,0
2026-01-02 03:40:00+00:00,4348.95,4349.73,4345.77,4346.68,810,5,0
2026-01-02 03:45:00+00:00,4346.68,4352.26,4346.09,4352.23,753,5,0
2026-01-02 03:50:00+00:00,4352.23,4354.48,4350.3,4350.3,676,5,0
2026-01-02 03:55:00+00:00,4350.3,4350.6,4347.69,4348.11,456,5,0
2026-01-02 04:00:00+00:00,4348.07,4352.01,4347.75,4350.14,540,5,0
2026-01-02 04:05:00+00:00,4350.13,4350.13,4346.86,4347.79,474,0,0
2026-01-02 04:10:00+00:00,4347.79,4347.82,4345.76,4347.15,501,5,0
2026-01-02 04:15:00+00:00,4347.16,4348.12,4345.46,4347.79,588,5,0
2026-01-02 04:20:00+00:00,4347.91,4347.97,4345.23,4346.85,581,5,0
2026-01-02 04:25:00+00:00,4346.79,4348.51,4345.24,4347.73,733,0,0
2026-01-02 04:30:00+00:00,4347.73,4350.4,4345.86,4346.91,815,9,0
2026-01-02 04:35:00+00:00,4346.91,4353.33,4346.9,4352.13,865,10,0
2026-01-02 04:40:00+00:00,4352.13,4352.61,4350.79,4351.49,685,5,0
2026-01-02 04:45:00+00:00,4351.49,4355.74,4351.19,4354.96,704,5,0
2026-01-02 04:50:00+00:00,4354.96,4359.82,4354.94,4359.32,800,5,0
2026-01-02 04:55:00+00:00,4359.27,4363.2,4358.13,4362.93,784,5,0
2026-01-02 05:00:00+00:00,4362.88,4364.4,4362.17,4364.1,698,5,0
2026-01-02 05:05:00+00:00,4364.1,4366.57,4364.04,4365.38,581,5,0
2026-01-02 05:10:00+00:00,4365.47,4371.87,4365.26,4369.09,820,5,0
2026-01-02 05:15:00+00:00,4369.13,4369.13,4365.59,4366.59,742,9,0
2026-01-02 05:20:00+00:00,4366.59,4370.81,4365.73,4370.05,678,7,0
2026-01-02 05:25:00+00:00,4370.05,4370.12,4367.59,4369.13,800,5,0
2026-01-02 05:30:00+00:00,4369.19,4373.2,4368.15,4371.28,824,2,0
2026-01-02 05:35:00+00:00,4371.28,4372.18,4369.48,4371.28,699,9,0
2026-01-02 05:40:00+00:00,4371.27,4374.61,4370.82,4373.86,673,5,0
2026-01-02 05:45:00+00:00,4373.86,4375.66,4372.91,4373.52,639,5,0
2026-01-02 05:50:00+00:00,4373.52,4375.36,4372.79,4374.05,766,5,0
2026-01-02 05:55:00+00:00,4374.05,4375.42,4372.19,4375.11,800,5,0
2026-01-02 06:00:00+00:00,4375.05,4377.72,4373.88,4377.54,650,10,0
2026-01-02 06:05:00+00:00,4377.56,4378.49,4375.83,4376.16,746,5,0
2026-01-02 06:10:00+00:00,4376.16,4377.43,4374.66,4374.85,651,5,0
2026-01-02 06:15:00+00:00,4374.85,4375.79,4374.09,4375.07,717,5,0
2026-01-02 06:20:00+00:00,4375.07,4375.45,4371.43,4372.77,792,5,0
2026-01-02 06:25:00+00:00,4372.77,4376.11,4372.73,4373.7,664,5,0
2026-01-02 06:30:00+00:00,4373.7,4374.71,4371.75,4373.42,548,5,0
2026-01-02 06:35:00+00:00,4373.42,4373.93,4371.97,4373.3,493,5,0
2026-01-02 06:40:00+00:00,4373.25,4375.52,4372.91,4375.42,405,5,0
2026-01-02 06:45:00+00:00,4375.43,4375.98,4373.93,4374.58,520,5,0
2026-01-02 06:50:00+00:00,4374.58,4375.46,4372.39,4372.59,510,5,0
